Algorithm,Normalized Reward (vs MPO),Normalized Cost (vs MPO)
MPO,1.0,1.0
CRPO,0.44296661019325256,1.1256130175666355
RAMU,0.8582754731178284,1.0495367221763534
MPAC,1.2734434604644775,0.984943597825484
