Algorithm,Normalized Reward (vs MPO),Normalized Cost (vs MPO)
MPO,1.0,1.0
CRPO,1.0587198734283447,0.7885658843164413
RAMU,0.5818782448768616,1.038598089604801
MPAC,1.26283860206604,0.7884052605727765
