Algorithm,Normalized Reward (vs MPO),Normalized Cost (vs MPO)
MPO,1.0,1.0
CRPO,3.308058261871338,1.0172853456810649
RAMU,2.897817373275757,0.9943959768650055
MPAC,3.6898581981658936,1.0040731189426335
